movie_seq,movie_img,movie_title,movie_type,movie_country,movie_runtime,movie_age,movie_open_date,movie_rating,movie_director,movie_actor,movie_content,,admin_id
565,175540,비커밍 아스트리드,드라마,스웨덴,123분,15세 관람가,2021.05.12,7.67,페르닐레 피셔 크리스텐센,"알바 어거스트, 마리아 보네비, 트린 디어홈","‘아스트리드’는 자기 주관이 뚜렷한 10대 소녀다.<br/>1920년대 스웨덴의 시골에서 10대 소녀에게 허락된 일이란 <br/>집안일을 돕거나, 동생들을 돌보거나 하는 그저 허드렛일뿐.<br/>게다가 기독교 집안인 까닭에 이성교제는 물론 <br/>머리모양조차 마음대로 할 수 없을 만큼 엄격하다. <br/>하지만 딸의 글 솜씨를 누구보다 잘 알고 아끼는 아버지는 <br/>‘아스트리드’를 지역 신문사의 인턴으로 일할 수 있게 힘쓴다. <br/>그곳에서 그녀는 삶의 전환을 맞닥뜨리게 되는데…<br/>       <br/>말괄량이 소녀 ‘아스트리드’가 전설의 작가 ‘린드그렌’이 되기까지<br/>그녀의 가장 결정적인 삶의 모먼트를 만난다!",,admin01
566,202986,빌리 홀리데이,"드라마, 뮤지컬",미국,130분,청소년 관람불가,2021.11.04,7.76,리 다니엘스,"앤드라 데이, 트래반트 로즈, 가렛 헤드룬드",팝 보컬의 예술을 영원히 바꿔 놓은 재즈의 초상 ‘빌리 홀리데이’<br/>무대 위에선 모두의 박수를 받는 ‘레이디 데이’였지만<br/>무대 아래에선 시대의 폭력과 광기에 끝없이 시달렸다. <br/><br/>도망칠 곳 없이 어둠으로 내몰린 삶 속에서도<br/>그녀가 포기할 수 없었던 두 가지<br/>세상을 위한 단 하나의 노래<br/>그녀를 위한 단 하나의 사랑. <br/><br/>Stay tuned for LADY DAY!,,admin01
567,194084,빛과 철,드라마,한국,107분,12세 관람가,2021.02.18,7.95,배종대,"염혜란, 김시은, 박지후","두 여자가 한 교통사고로 남편들을 잃었다.<br/>희주의 남편은 죽었고, 영남의 남편은 2년째 의식불명.<br/>2년 만에 고향에 돌아온 희주는 우연히 영남을 맞닥뜨리고,<br/>영남의 딸 은영은 희주의 주위를 의뭉스럽게 맴돈다.<br/><br/>하나의 사건, 각자의 이유, 조각난 진실···<br/>빛과 빛, 철과 철이 부딪치던 그날 밤의 비밀이 밝혀진다",,admin01
568,193327,빛나는 순간,드라마,한국,95분,12세 관람가,2021.06.30,8.26,소준문,"고두심, 지현우","‘바다에서 숨 오래 참기’로 기네스북에 오른 제주 해녀 진옥(고두심)<br/>성질도, 물질도 제주에서 그를 이길 사람이 없다.<br/>진옥을 취재하기 위해 서울에서 내려온 다큐멘터리 PD 경훈(지현우)<br/>하지만 진옥의 반응은 냉담하다.<br/>경훈은 진옥의 마음을 열기 위해 그의 주위를 맴돌기 시작하고,<br/>진옥은 바다에 빠진 경훈의 목숨을 구해준 이후<br/>자신과 같은 상처를 가졌음을 알고 경훈에게 마음을 연다.<br/>제주 그리고 해녀의 삶에 깊숙이 들어가게 된 경훈<br/>그런 경훈을 통해 진옥은 생전 처음 느껴보는 감정들을 마주하기 시작하는데…<br/>당신을 만나고 비로소 알게 된,<br/>나의 가장 빛나는 순간",,admin01
569,186609,빛의 아버지: 파이널 판타지 XIV,드라마,일본,114분,전체 관람가,2021.01.14,8.75,"노구치 테루오, 야마모토 키요시","사카구치 켄타로, 요시다 코타로, 사쿠마 유이",승진을 앞두고 있던 아키오의 아버지는 돌연 회사를 그만두고 집으로 돌아오게 된다.<br/>무슨 생각을 하고 있는지 도통 모르겠는 아버지와 자연스럽게 소통하고자<br/>어릴 적 함께 했던 게임 '파이널 판타지 14'를 선물로 드린 아키오.<br/><br/>자신의 정체를 속이고 게임 속에서 아버지를 빛의 전사로 만들기 위한<br/>'빛의 아버지' 프로젝트를 시작하며 많은 이야기를 나누는데..<br/><br/>과연 아키오와 아버지는 소원했던 관계를 회복하고 가까워질 수 있을까?,,admin01
570,191059,쁘떼뜨,멜로/로맨스,독일,127분,12세 관람가,2021.03.10,9.08,마틴 슈라이어,"에밀리아 슐레, 데니스 모옌, 마이클 귀스덱","독일 베를린의 엑스트라 배우 ‘에밀’은 영화 촬영장에서 만난<br/>프랑스의 여배우 ‘베아트리체’의 대역 댄서인 ‘밀루’에게 한눈에 반한다.<br/>서로의 공감대를 통해 급속도로 가까워진 두 사람.<br/>하지만 동독이 국경을 폐쇄하고 베를린 장벽을 세우면서<br/>‘밀루’는 파리로 돌아가고, 아픈 시대는 두 사람을 갈라놓는다.<br/><br/>“인생에서 가장 눈부신 한 주였어요”<br/><br/>‘에밀’은 사랑하는 ‘밀루’를 다시 만나기 위해<br/>‘베아트리체’를 섭외하기 위한 영화를 만들기로 계획하지만,<br/>예기치 못한 상황들로 두 남녀는 미묘하게 엇갈리는데..<br/><br/>우연이 운명이 되는 순간,<br/>오직 한 사람을 위한 영화가 시작된다!",,admin01
571,202669,쁘띠 마망,"드라마, 판타지",프랑스,72분,전체 관람가,2021.10.07,8.59,셀린 시아마,"조세핀 산스, 가브리엘 산스","외할머니의 유품을 정리하기 위해,<br/>엄마 ‘마리옹’과 함께 시골집으로 내려온 ‘넬리’.<br/><br/>어린시절 엄마의 추억이 깃든 그곳에서<br/>‘넬리’는 엄마와 이름이 같은 동갑내기 ‘마리옹’을 만나게 된다.<br/><br/>단숨에 서로에게 친밀함을 느끼는 ‘넬리’와 ‘마리옹’!<br/>하지만 ‘넬리’는 이 우연한 만남 속에서 반짝이는 비밀을 알게 되는데…<br/><br/>“나 비밀이 있어.<br/>내 비밀이면서, 네 비밀이기도 해”",,admin01
572,198412,사라센의 칼,"드라마, 가족",한국,83분,15세 관람가,2021.01.14,8.94,임재영,"신지수, 검비르","피 묶은 6달러 지폐를 꼭 쥐고 도망치듯 떠나온 ‘윤아’(신지수)는<br/>인적이 드문 유리 공장에서 공장 매니저 김반장의 통솔하에 남자 직원들과 외국인 이주 노동자 ‘알란’(검비르), 새로 들어온 ‘은지’와 함께 생활한다. 외롭고 힘든 시간을 보내는 윤아는 알란과 은지와 점점 가까워 지지만, 이들과 함께할수록 그리운 엄마와 아픈 기억이 떠올라 혼란스러워 한다. 그러던 중 알란이 항상 몸에 지니고 다니던 사라센의 칼로 인해 뜻하지 않은 사건들이 발생하는데…",,admin01
573,195585,사랑하고 사랑받고 차고 차이고,"드라마, 멜로/로맨스",일본,124분,12세 관람가,2021.06.16,8.52,미키 타카히로,"하마베 미나미, 키타무라 타쿠미, 아카소 에이지","모두가 행복한 사랑을 바라는 ‘아카리’(하마베 미나미)와 <br/>한 발 뒤에서 사랑을 기다리는 ‘유나’(후쿠모토 리코). <br/><br/>서로 정반대의 성격이지만<br/>우연한 계기로 친구가 된 둘.<br/><br/>고등학교 첫 학기가 시작되고<br/>‘아카리’와 ‘유나’에게도 <br/>마음을 전하고 싶은 상대가 생겼다. <br/><br/>“너도 내 마음과 같을까…?”<br/><br/>조금씩 천천히, 너에게로 가는 길<br/>열일곱, 우리들의 성장형 청춘 로맨스",,admin01
574,196979,"사랑하고 사랑받고, 차고 차이고","애니메이션, 멜로/로맨스",일본,103분,전체 관람가,2021.04.08,7.31,쿠로야나기 토시마사,"한 메구미, 시마자키 노부나가, 사이토 소우마","순정만화 같은 사랑을 꿈꾸는 고교 1학년 '유나'는<br/>소극적인 자신과는 달리 자신감 있는 '아카리'와 둘도 없는 친구 사이가 된다.<br/>아카리는 조금은 어른스러운 유나의 소꿉친구 '카즈'에게 끌리고,<br/>유나는 아카리의 동생 '리오'를 동경하지만 적극적으로 다가서지 못한다. <br/><br/>한편, 리오가 아카리에게 전하지 못한 마음을 간직한 채 <br/>부모님의 재혼으로 한 가족이 되었다는 ‘비밀’을 유나와 카즈가 알게 되면서<br/>네 사람의 감정은 점점 더 복잡하게 얽히는데…<br/><br/>두근두근 엇갈린 짝사랑, 그리고 네 번의 고백<br/>그 애를 좋아하는 너를 좋아해도 될까?",,admin01
575,188872,사막을 건너 호수를 지나,다큐멘터리,한국,105분,전체 관람가,2021.12.30,8,"박소현, 송영윤","황지은, 박승규, 고수경","열 명의 ‘평화하는’ 청년들, 레츠피스.<br/>드럼통 같은 북을 허리에 매고 희망찬 여행을 떠난다.<br/><br/>경계 너머의 세상을 상상하고, 춤추고 북을 치며 노래하는 여정.<br/>목포에서 출발해 블라디보스토크를 지나, 베를린까지 이어지는 피스 로드!<br/><br/>여덟 번의 여행과 아홉 편의 글, 그리고, 노래!<br/>Let’s Peace! 사막을 건너 호수를 지나, 우리를 위한 노래를 부르자!",,admin01
576,211177,"사비나: 그리스도를 위한 고난, 나치 시대",드라마,"루마니아, 아일랜드, 미국",115분,12세 관람가,2021.11.25,9.49,존 그루터스,"라루카 보테즈, 에밀 만다나크, 가브리엘 코스틴","제 2차 세계대전이 종반으로 치닫던 1944년 겨울, 소련군이 루마니아로 진격해 들어온다. 루마니아를 점령해서 유대인들을 박해하던 독일 나치 군인들은 일순간에 쫓기는 사냥감 신세가 된다.<br/>부하들을 데리고 도망치던 중 사비나의 도움을 받게 되는 디에터 대위. 그는 사형 당할 위험까지 무릅쓰고 자신들의 탈출을 돕겠다는, 유대인 사비나의 의도를 의심한다. 그런 그에게 사비나는 자신이 어떻게 그리스도인이 됐고 나치 추종자들의 총에 가족 모두를 잃고도 남편 리처드와 함께 독일군들을 탈출시키는 일을 시작하게 됐는지, 이야기를 들려주는데… 우리가 꼭 만나야 할 신실한 증인의 삶!",,admin01
577,203568,사운드 오브 데스,"공포, 범죄, 스릴러","핀란드, 미국",94분,청소년 관람불가,2021.09.09,5.05,알렉스 노이어,"자스민 사보이 브라운, 릴리 시몬스, 제임스 재거","실험적인 음악과 소리를 연구하는 알렉시스.<br/>폭력의 소리를 수집하는 그녀는 끊임없이 목마름을 느낀다.<br/>어느 날, 행인의 우연한 죽음을 목격한 그녀,<br/>죽음의 소리만이 자신의 쾌감을 채울 수 있다는 것을 알게 된 그녀는<br/>이후 죽음의 음악을 만들기 위한 살육을 시작한다.<br/>노숙자, 레코드 샵 오너, 하프 연주자…<br/>알렉시스는 죽음의 비트를 찍어 나가는데…",,admin01
578,118333,사울 레이터: 인 노 그레이트 허리,다큐멘터리,영국,78분,전체 관람가,2021.12.29,6.57,토마스 리치,사울 레이터,"영화 <캐롤>의 토드헤인즈 감독이 영감을 받았다고 밝힌 사진가.<br/><br/>50년대 뉴욕의 일상을 담은 사진들로<br/>‘컬러 사진의 선구자’, ‘뉴욕의 전설’이라 불리는 사울 레이터.<br/><br/>하지만 그는 뉴욕 이스트 빌리지 주변에서만 사진 촬영을 하며,<br/>80대가 되어서야 명성을 얻기 시작한 은둔의 사진가이다.<br/>뚜렷한 목적 없이 세상을 관찰한 사진가 사울 레이터,<br/>수많은 아티스트들의 영감의 원천이 된 그의 삶과 예술 세계가 스크린에 펼쳐진다.",,admin01
579,196971,사일런싱,"공포, 범죄, 스릴러",미국,93분,"15세 관람가, R",2021.01.28,5.88,로빈 프론트,"니콜라이 코스터-왈도, 애나벨 월리스","5년 전 눈앞에서 딸의 실종을 목격한 ‘레이번’<br/>그는 슬픔을 견디며 자연보호구역의 관리자로 살아간다.<br/>어느 날 숲속에서 한 소녀가 인간사냥을 당하는 장면을 목격하고,<br/>그는 본능적으로 딸의 실종과 관련이 있음을 직감한다.<br/>결국 그는 소녀를 구하기 위해 끔찍한 인간 사냥 현장으로 뛰어드는데…",,admin01
580,189444,살아남은 사람들,"드라마, 멜로/로맨스",헝가리,88분,15세 관람가,2021.02.10,8.12,버르너바시 토트,"카롤리 하이덕, 마리 나기, 아비겔 소크","제2차 세계대전 직후 헝가리 부다페스트.<br/>부모가 행방불명 된 소녀 ‘클라라’는<br/>홀로코스트로 가족을 모두 잃은 의사 ‘알도’를 만나<br/>나이를 뛰어넘는 친구가 된다.<br/>점점 딸과 아버지처럼 서로를 돌보며,<br/>오랫동안 잊고 살아온 삶의 달콤함과 따뜻함을 다시 맛본다.<br/>하지만 스탈린 지배 하의 경직된 헝가리 사회는<br/>둘의 관계를 차갑게 예의주시하는데…<br/><br/>시대의 비극 속에서도 온기를 잃지 않은<br/>아름다운 사람들의 이야기가 시작된다.",,admin01
581,208079,상견니,"드라마, 멜로/로맨스, SF",대만,72분,12세 관람가,2021.08.31,8.43,황천인,"가가연, 허광한, 시백우",세상을 떠난 남자친구 ‘왕취안성’을 잊지 못한 주인공 ‘황위쉬안’이<br/>운명처럼 1998년으로 타임슬립 해<br/>그와 똑닮은 남학생 ‘리쯔웨이’를 만나 벌어지는 메가 히트 타임슬립 로맨스,,admin01
582,190382,새해전야,멜로/로맨스,한국,114분,12세 관람가,2021.02.10,6.98,홍지영,"김강우, 유인나, 유연석",강력반에서 좌천되어 신변보호 업무를 떠 맡게 된 이혼 4년 차 자.만.추 형사 ‘지호’(김강우)와<br/>이혼 소송 중 신변보호를 요청한 완벽주의 재활 트레이너 ‘효영’(유인나)<br/> <br/>현타와 함께 찾아온 번아웃에 아르헨티나로 도망친 현지 와인 배달원 ‘재헌’(유연석)과<br/>일방적인 남친의 이별통보에 무작정 아르헨티나로 떠난 스키장 비정규직 ‘진아’(이연희)<br/><br/>사기를 당해 결혼 자금 탈탈 털린 여행사 대표 ‘용찬’(이동휘)과<br/>결혼을 앞두고 한국지사로 발령받아 온 대륙의 예비 신부 ‘야오린’(천두링)<br/>그리고 하나뿐인 남동생 국제결혼에 심란한 동생 바라기 예비 시누이 ‘용미’(염혜란)<br/><br/>세상의 편견에 부딪혀 오랜 연인에게 미안한 패럴림픽 국가대표 ‘래환’(유태오)<br/>사랑 앞에 어떤 장애도 없다고 믿는 씩씩한 긍정퀸 원예사 ‘오월’(최수영)<br/><br/>새해까지 남은 시간 일주일<br/>한 뼘 더 행복해지고 싶은 네 커플의 두렵지만 설렘 가득한 이야기가 시작된다!,,admin01
583,194082,생각의 여름,드라마,한국,82분,12세 관람가,2021.08.12,5.78,김종재,"김예은, 곽민규, 오규철","뒹굴뒹굴 무기력증에 빠진 시인 지망생 ‘현실’.<br/>공모전에 내야할 마지막 시가 데굴데굴 산으로 가자,<br/>새로운 영감을 찾아 집을 나선다.<br/>시가 산으로 가면, 산으로 가는 게 답?<br/>‘현실’은 생각의 여름 속에서 집 나간 영감도 찾고, <br/>호구 잡힌 자신도 찾을 수 있을까?<br/><br/>남다른 현실의 한여름 기행이 시작된다!",,admin01
584,178267,샤먼 로드,다큐멘터리,한국,105분,12세 관람가,2021.07.03,9.58,최상진,"박성미, 꼴레뜨 그랑종-로조뜨","중세시대였다면 ‘마녀’라고 화형을 당했을 프랑스 여자 샤먼 꼴레뜨와 한국 여자 샤먼 성미의 운명적 만남과 우정.<br/>성미와 꼴레뜨는 어렸을 때부터 들린 신의 음성과 영상들(visions)로 인해 남들과 다른 삶을 살 수밖에 없었고, 이를 천형이라 생각했다.<br/>2014년 프랑스에서 열린 세계샤머니즘축제에서 서로를 만난 뒤에야, 꼴레뜨와 성미는 그들의 특별한 능력이 세상 사람들의 아픈 상처를 어루만져주기 위한 신의 선물이라는 걸 깨닫고 서로를 의지하며 샤먼 로드를 걷는다.",,admin01
585,187348,샹치와 텐 링즈의 전설,"액션, 모험, 판타지","미국, 오스트레일리아",132분,12세 관람가,2021.09.01,6.25,데스틴 크리튼,"시무 리우, 양조위, 아콰피나","초인적인 능력을 가진 ‘텐 링즈’의 힘으로 수세기 동안 어둠의 세상을 지배해 온 ‘웬우’<br/>'샹치’는 아버지 ‘웬우’ 밑에서 암살자로 훈련을 받았지만 이를 거부하고 평범함 삶을 선택한다.<br/>그러나 ‘샹치’는 목숨을 노리는 자들의 습격으로 더 이상 운명을 피할 수 없다는 것을 직감하고,<br/>어머니가 남긴 가족의 비밀과 내면의 신비한 힘을 일깨우게 된다<br/>벗어나고 싶은 과거이자, 그 누구보다 두려운 아버지 ‘웬우’를 마주해야 하는 ‘샹치’<br/>악이 될 것인가? 구원이 될 것인가?<br/><br/>마블의 새로운 시대,<br/>세상에 없던 힘이 탄생한다!",,admin01
586,159074,서복,드라마,한국,114분,15세 관람가,2021.04.15,6.33,이용주,"공유, 박보검, 조우진","과거 트라우마를 안겨준 사건으로 인해 외부와 단절된 삶을 살아가고 있는 전직 요원 ‘기헌’은 정보국으로부터 거절할 수 없는 마지막 제안을 받는다.<br/>줄기세포 복제와 유전자 조작을 통해 만들어진 실험체 ‘서복’을 안전하게 이동시키는 일을 맡게 된 것.<br/>하지만 임무 수행과 동시에 예기치 못한 공격을 받게 되고, 가까스로 빠져나온 ‘기헌’과 ‘서복‘은 둘만의 특별한 동행을 시작하게 된다.<br/>실험실 밖 세상을 처음 만나 모든 것이 신기하기만 한 ‘서복‘과 생애 마지막 임무를 서둘러 마무리 짓고 싶은 ‘기헌’은 가는 곳마다 사사건건 부딪친다.<br/>한편, 인류의 구원이자 재앙이 될 수도 있는 ‘서복’을 차지하기 위해 나선 여러 집단의 추적은 점점 거세지고 이들은 결국 피할 수 없는 선택을 하게 되는데…",,admin01
587,188875,세버그,"드라마, 스릴러","미국, 영국",102분,"15세 관람가, R",2021.11.04,8.01,베네딕트 앤드류스,"크리스틴 스튜어트, 안소니 마키, 잭 오코넬","1960년대, 할리우드와 프랑스를 오가며 활동하는 배우이자 누벨바그를 대표하는 아이콘 진 세버그(크리스틴 스튜어트)는<br/>흑인 인권 운동가 하킴 자말(안소니 마키)을 통해 적극적으로 인권 운동에 참여하지만, 이로 인해 FBI의 주목을 받게 된다.<br/>정부를 비난하는 진의 거침없는 행보에 FBI는 신입요원 잭 솔로몬(잭 오코넬)에게<br/>진과 하킴을 24시간 도청할 것을 지시하고 진의 가족과 명예, 그리고 경력까지 망가뜨리기 위한 음모를 꾸미는데…<br/><br/>가장 강렬한 실화가 펼쳐진다!",,admin01
588,198736,세상의 모든 디저트: 러브 사라,"드라마, 코미디, 멜로/로맨스",영국,98분,12세 관람가,2021.02.04,7.77,엘리자 슈뢰더,"셀리아 아임리, 섀넌 타벳, 셀리 콘","꿈에 그리던 베이커리 오픈을 앞두고 사고로 세상을 떠난 ‘사라’를 위해,<br/>그녀의 엄마 ‘미미’와 딸 ‘클라리사’ 그리고 베프 ‘이사벨라’가 ‘러브 사라’를 오픈한다.<br/>미슐랭 스타 레스토랑의 셰프 ‘매튜’까지 합류하지만 손님은 없고,<br/>‘사라’ 없는 네 사람의 거리감 역시 좀처럼 좁혀지지 않는다.<br/>그러던 어느 날, 가게를 지나치는 손님들을 바라보던 ‘미미’는 기막힌 아이디어를 떠올리는데…!<br/><br/>“런던에는 전 세계에서 온 수많은 사람들이 살잖아.<br/>‘러브 사라’를 고향 같은 곳으로 만들면 어때?”<br/><br/>리스본에서 온 엄마와 아들을 위한 ‘파스텔 드 나타’부터<br/>호주식 케이크 ‘레밍턴’, 덴마크의 시나몬롤 ‘카넬스네일’<br/>라트비아 출신의 택배 기사를 위한 ‘크링글’까지!<br/>“‘러브 사라’는 당신을 위한 디저트를 만들어 드려요. 추억이 가득한, 어느 것이라도!”",,admin01
589,193328,세자매,드라마,한국,115분,15세 관람가,2021.01.27,8.68,이승원,"문소리, 김선영, 장윤주","“언니가 늘 기도하는거 알지?”<br/>완벽한 척하는 가식덩어리 둘째 ‘미연’(문소리)<br/><br/>“내가 미안하다”<br/>괜찮은 척하는 소심덩어리 첫째 ‘희숙’(김선영)<br/><br/>“나는 쓰레기야”<br/>안 취한 척하는 골칫덩어리 셋째 ‘미옥’(장윤주)<br/><br/>각자 아무렇지 않은 척 살아가던 세 자매는 <br/>아버지 생일을 맞아 오랜만에 한 자리에 모이는데... <br/><br/>내 부모에게 진정한 사과를 받고 싶었던, <br/>문제적 자매들이 폭발한다!",,admin01
590,201687,소설가 구보의 하루,드라마,한국,73분,12세 관람가,2021.12.09,8.56,임현묵,"박종환, 김새벽",자신의 작품 세계를 고집하며 글을 써오고 있는 소설가 구보(박종환)는<br/>선배 기영(김경익)이 편집장으로 있는 작은 출판사에 자신의 소설 출간 여부를 결정지으러<br/>부푼 마음을 안고 아침 일찍 집을 나선다.<br/><br/>기대치 못한 소식을 들은 구보는 허탈한 마음으로 거리를 배회하면서<br/>다양한 지인들과 우연 혹은 필연적으로 만나게 되는데…,,admin01
591,184517,소울,애니메이션,미국,107분,전체 관람가,2021.01.20,9.31,피트 닥터,"제이미 폭스, 티나 페이, 다비드 딕스","뉴욕에서 음악 선생님으로 일하던 ‘조’는<br/>꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날,<br/>예기치 못한 사고로 영혼이 되어 ‘태어나기 전 세상’에 떨어진다.<br/><br/>탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 ‘태어나기 전 세상’<br/>‘조’는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 ‘22’의 멘토가 된다.<br/><br/>링컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 ‘22’<br/>꿈의 무대에 서려면 ‘22’의 지구 통행증이 필요한 ‘조’<br/>그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?",,admin01
592,198478,송해 1927,다큐멘터리,한국,82분,12세 관람가,2021.11.18,8.9,윤재호,송해,"최고령 현역 연예인<br/>‘전국노래자랑’ 최장수 MC<br/>가수, 희극인, DJ…<br/>한 평생 전 국민들의 희로애락을 함께 해온 ‘송해’!<br/><br/>“이제는 내 인생도 딩동댕 할랍니다!”<br/><br/>무대 아래 숨겨진 ‘송해’의 라이프 비하인드 스토리부터<br/>30년 만에 마주한 특별한 선물의 정체까지?<br/><br/>누구나 알지만 아무도 몰랐던<br/>1927년생 ‘송해’의 인생 속터뷰!",,admin01
593,206220,쇼미더고스트,"코미디, 공포",한국,83분,12세 관람가,2021.09.09,6.7,김은경,"한승연, 김현목, 홍승범","영혼까지 끌어모아 마련한 돈으로 드림 하우스에 입성한 20년 절친 예지와 호두.<br/>완벽한 줄 알았던 집에 귀신이 들자, 돈도 갈 곳도 없는 둘은 귀신을 내쫓기로 결심한다.<br/>그러나 귀신보다 무서운 서울 물가 때문에 지쳐버린 두 사람은<br/>값비싼 전문 퇴마사 대신 특별할인 이벤트 중인 꽃도령 퇴마사 기두와 셀프 퇴마에 나서는데…<br/><br/>""귀신님, 아직... 안 나가셨어요?""",,admin01
594,203677,쇼크 웨이브 2,"액션, 범죄, 스릴러","홍콩, 중국",120분,15세 관람가,2021.05.20,8.63,구예도,"유덕화, 유청운, 니니","뛰어난 폭탄 제거 요원 ‘판청펑’(유덕화)은 현장에서 예기치 못한 사고로 왼쪽 다리를 잃는다. 이로 인한 좌천 통보에 분노한 ‘판청펑’은 폭탄 제거반 동료 ‘둥저원’(유청운)과 애인인 ‘팡링’(니니)에게 등을 돌리고 자취를 감춘다.<br/><br/>5년 뒤, 홍콩의 한 호텔 행사장에서 폭탄 테러가 발생하고, 그곳에서 쓰러져 있는 그가 발견된다. 사고로 기억을 모두 잃은 채 깨어난 ‘판청펑’은 자신에게 극비 임무가 있었음을 알게 된다. 점점 세력이 커지는 테러 집단 ‘부활회’에 잠입해 그들의 계획을 알아내야 하는 것.<br/><br/>마침내 그들의 목적을 알게 된 ‘판청펑’, 그리고 폭탄 제거반, 반테러리즘 특수부대 팀은 세계에서 가장 작은 핵폭탄으로, 홍콩국제공항뿐 아니라 국제상업센터, 국제금융센터, 주요 지하철 역까지 모조리 쓸어버릴 계획에 경악한다.",,admin01
595,201685,숏버스 감독행,"드라마, 가족",한국,90분,15세 관람가,2021.11.25,9.15,"최진영, 현승휘, 서정미","최진영, 류승우, 최지현","자신의 꿈과 현실사이에서 고민하는 영화 속 주인공들은 바라왔던 이상과 다른 삶을 살아간다. 이들에게 영화 감독은 무엇인가?<br/><br/>감독? 배우? 촬영감독? 직업이 몇개야? <장래희몽><br/>파도 파도 답이 안 나오는 감독 인생! <초겨울><br/>영화? 더 이상 안 찍어요 <소영의영화><br/>에로 영화 현장, '애'가 들이닥쳤다! <애로><br/>이 영화... 다 찍을 수 있을까? <메이킹 필름><br/><br/>마치 내 이야기 같은 감독들의 웃픈 이야기<br/><숏버스 감독행>에서 만나보세요.",,admin01
596,201801,숏버스 감성행,멜로/로맨스,한국,93분,12세 관람가,2021.08.19,8.3,"강인석, 안다훈, 박경진","이문규, 정유민, 박영빈","[우리 둘만의 음악, 책, 그리고 여행]<br/>새로운 풍경 속에서 익숙한 흔적을 찾고 있는 '소영',<br/>파리의 어느 아름다운 거리를 랜선 산책 중인 '미화',<br/>반짝이는 윤슬을 보며 새로운 시작을 준비하는 '정아'.<br/>바다로, 프랑스로, <숏버스 감성행>의 그녀들과 떠나는 감성 여행.<br/>우리 같이 여행 갈래요?",,admin01
597,201692,숏버스 배우행,"드라마, 다큐멘터리",한국,104분,12세 관람가,2021.12.30,8.92,"이건휘, 김내리, 황지현","강지구, 김근형, 김무늬","오늘도 배우들은 연기를 위해 고군분투한다.<br/><br/>옥상에선 내가 톱스타! < Ok, 탑스타><br/>녹색창에 떠야만 배우인가요? <31, 내리다><br/>감독님, 제 메일은 언제 확인하실까요? <오디션><br/>아기에게 분유를 먹이는 나는 연기가 고프다 <언젠간 터질 거야><br/>오디션, 아빠가 없어도 잘 할 수 있어 <클라운><br/><br/>이들은 그토록 바라던 연기의 꿈을 펼칠 수 있을까?",,admin01
598,201686,숏버스 섬뜩행,"드라마, 공포",한국,87분,15세 관람가,2021.10.28,7.38,"강다연, 김상규, 전민혁","천하영, 김벼리, 백지혜","심장을 움켜쥐는 의심의 서막. 그림자 드리운 마음 한 켠, 숨어있던 또 다른 나를 만난다.<br/><br/>지옥에 가지 않기 위한 기도 <신에게 보내는 편지><br/>흔들리는 믿음과 현실 사이 악몽 <망치><br/>옥죄어오는 무거운 시선 <그랑주떼><br/>임신과 함께 찾아온 알 수 없는 불안 <사마귀><br/><br/>""등골 서늘한 상상... 언제쯤 멈출 수 있을까?""<br/>네 편의 섬뜩한 악몽 속으로 초대합니다.",,admin01
599,201800,숏버스 이별행,"코미디, 멜로/로맨스",한국,65분,15세 관람가,2021.07.22,8.11,"유현, 김세희, 김홍기","공유림, 유민석, 이솔잎",웃음과 눈물이 번진 이별 기억...<br/>위로가 필요한가요?<br/><br/>전남친의 집을 찾아간 ‘진아’<br/>무대에서 폭발한 밴드 보컬 ‘혜승’<br/>백수 남친과 아직도 못 끝낸 ‘혜수’<br/>새로운 시작을 꿈꿨던 ‘미영’<br/><br/>네 편의 단편영화와 함께하는<br/>이별 여행이 시작됩니다.<br/><br/><뜨거운 안녕.> (12분) 연출 유현 | 주연 공유림 유민석 이솔잎<br/><언프로페셔널> (11분) 연출 김세희 | 주연 윤현경<br/><중성화> (17분) 연출 김홍기 | 주연 김재화 조민재 김혜화<br/><그녀는요> (25분) 연출 원은선 | 주연 황미영,,admin01
600,201718,수색자,스릴러,한국,110분,15세 관람가,2021.09.29,6.8,김민섭,"송창의, 송영규, 이현균","어두운 밤 총성이 울린 후 파견 나온 교육장교가 사망하는 사건이 일어난다.<br/>같은 시각 출입통제구역 DMZ로 탈영병이 도주하는 일이 발생하고<br/>3소대는 DMZ 수색 작전에 긴급 투입된다.<br/><br/>그곳에서 대원들은 탈영병도, 수색 대원도 아닌 정체불명의 병사를 목격한다.<br/>그리고 알 수 없는 죽음의 릴레이가 시작되는데...<br/>모든 건 바로 그날 시작되었다!",,admin01
