movie_seq,movie_img,movie_title,movie_type,movie_country,movie_runtime,movie_age,movie_open_date,movie_rating,movie_director,movie_actor,movie_content,,admin_id
21,195425,고스트 오브 워,"미스터리, 공포, 스릴러",영국,94분,15세 관람가,2020.09.02,7.08,에릭 브레스,"브렌튼 스웨이츠, 테오 로시, 스카이라 애스틴","제2차 세계 대전 종전을 앞둔 1944년,<br/>미군 ‘크리스’와 4명의 부대원들은<br/>나치 점령 프랑스를 지키기 위해<br/>한때 나치 최고 사령부가 점령했던 한 저택에 도착한다.<br/><br/>황급히 자리를 떠나는 교대 부대를 지켜보던 이들에게<br/>이내 정체를 알 수 없는 소리와 함께 의문의 사건들이 시작되고,<br/>두려움에 저택을 떠나려 하지만<br/>벗어날 수 없음을 직감하며<br/>결국 저택에 다시 돌아오게 되는데…",,admin01
22,190447,고양이 집사,다큐멘터리,한국,97분,전체 관람가,2020.12.03 2020.05.14,9.31,이희섭,"고양이들, 집사들, 임수정","이름 빼고 다 주는 바이올린 가게 아저씨,<br/>짜장면 대신 고양이 도시락 배달하는 중국집 사장님부터<br/>급식소 만들어 주는 주민센터 사람들,<br/>남겨질 고양이들을 걱정하며 밥을 주는 생선가게 할머니,<br/>급식소를 제작하는 청사포 마을 청년 사업가까지!<br/>함께 살아갈 수 있다면 모든 것을 털려도 행복한 집사들의 사랑 이야기가 시작된다!",,admin01
23,183105,고양이와 할아버지,드라마,일본,103분,전체 관람가,2020.04.23,8.57,이와고 미츠아키,타테카와 시노스케,"할머니, 할아버지, 그리고 고양이의 섬에서<br/>6살 고양이 타마와 단둘이 사는 다이키치 할아버지(타테카와 시노스케).<br/>어느 날, 죽은 아내가 남긴 미완성 레시피 노트를 발견한다.<br/><br/>이웃들과 함께 이 섬의 하나뿐인 카페 주인 ‘미치코’(시바사키 코우)에게<br/>새로운 음식을 배우며 자신만의 레시피로 비어있는 페이지를 채워나가는데…<br/><br/>한 사람과 한 마리가 선택한 행복,<br/>언제까지나 함께할 수 있을까?",,admin01
24,189118,광대: 소리꾼,드라마,한국,130분,12세 관람가,2022.02.24 2020.07.01,8.45,조정래,"이봉근, 이유리, 김하연","영조 10년, 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이. <br/>학규를 중심으로 뭉친 새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정이 시작된다.<br/>가족을 찾기 위한 학규의 울림 있는 외침 “우리는 다시 만나야 한다!” <br/>민족의 흥과 한이 다시 울려 퍼진다!",,admin01
25,194688,광주비디오: 사라진 4시간,다큐멘터리,한국,82분,12세 관람가,2020.07.16,4.51,이조훈,"민승연, 박상증, 기춘","인생을 송두리째 뒤흔든 영화가 ‘광주비디오’인 사람들이 있다.<br/>그들은 80년 오월 광주를 담은 거대한 진실의 파도 앞에 인생의 항로를 바꿨다.<br/>이 ‘광주비디오’를 만들고 전파한 것도 그 파도에 몸을 실은 사람들이다.<br/>처음으로 공개되는 이들의 숨은 이야기와 5·18민주화운동 40주년,<br/>아직도 밝혀지지 않은 집단 발포 현장의 사라진 4시간에 대한 추적!<br/><br/>역사의 기록을 되감고 시대의 기억을 되새기는 시간을 만난다.",,admin01
26,189393,교실 안의 야크,드라마,부탄,109분,전체 관람가,2020.09.30,9.36,파우 초이닝 도르지,"셰랍 도르지, 펨 잠, 켈든 라모 구룽","행복지수 1위 은둔의 나라 부탄의 수도 팀푸에서 신임교사로 일하는 유겐은 교사가 영 적성에 맞지 않는다. 교육부는 호주로의 이민을 꿈꾸는 그를 인구 56명에 불과한 전 세계에서 가장 외딴 벽지학교로 전근시킨다. 전기도 들어오지 않고 모든 것이 불편하기만 한 고도 4,800m의 낯선 오지 마을에서 유겐은 겨울이 오기 전까지 학생들을 가르쳐야 한다. 매사가 불평불만인 그이지만 때 묻지 않은 아름다운 자연의 경관과 순수한 마을 주민들의 환대, 그리고 배움에 대한 아이들의 열정을 마주하며 서서히 달라지기 시작한다.",,admin01
27,189440,구르는 수레바퀴,드라마,한국,130분,12세 관람가,2020.09.23,9.28,문정윤,김명곤,"도법은 종단에서 존경받는 큰스님이자 여러 상좌를 둔 노승이다.<br/>맏상좌 혜진은 서울에 있는 큰절 주지스님이다. 어려서 부모로부터 버려져 도법의 손에서 자랐다. 불가의 계율을 따르기보다는 인연에 집착해 도법을 아버지라 여기며 맏상좌로 인정받길 원하지만 생과 연 이라는 이원적 고뇌가 혜진을 괴롭힌다.<br/>어느 날, 상좌스님들은 도법스님이 위중하다는 소식을 전해 듣고 산골 암자로 모이게 된다. 서로 각자의 문제를 안고 있는 이들이 오랜만에 노스승을 찾은 이유는 스승의 안위 문제가 아니라 무언가 본인에게 이득이 될 만한 분명한 목적이 있었기 때문이다. 하지만 이들이 맞닥뜨린 것은 과거 위엄으로 호령하던 큰스님이 아닌 치매와 중풍으로 병든 노인이었다.<br/>중생과 부처, 진제(眞際)와 속제(俗諦), 생과 사는 어느 순간 사라지고 스님들은 도법의 봉양 책임과 절 재산을 가지고 서로 다투게 된다.<br/>이 와중에 혜진은 그동안 자신을 괴롭혀 왔던 과거, 자신의 상(像)과 마주하게 되고 현재 자신의 모습이 되기까지에 과정을 되돌아보게 되는데...<br/><br/>Religion Today FilmFestival SIGNIS AWARD (2020)",,admin01
28,178569,국도극장,드라마,한국,92분,12세 관람가,2020.05.29,8.5,전지희,이동휘,"만년 고시생 기태가 고향 벌교로 돌아왔다.<br/>사법고시가 폐지되어 고시생이라는 그 서글픈 타이틀마저 이제는 쓸 수 없게 되었다.<br/>유배지로 향하듯 돌아온 고향엔 그다지 반가운 사람도, 반겨주는 사람도 없다.<br/><br/>생계를 위해 낡은 재개봉 영화관 ‘국도극장’에서 일을 시작하는 기태.<br/>간판장이 겸 극장 관리인 오 씨는 ‘급하시다 해서 잠깐 도와주러’ 왔다는 기태가 못마땅하다.<br/><br/>우연히 만나게 된 동창생이자 가수 지망생 영은은 기태와 달리 24시간을 쪼개 쓰며 여러 일을 전전하고, 밤낮없이 술에 취해 있는 오 씨는 기태의 말동무가 되어준다.<br/>자식들을 위해 몸 아픈 것도 돌보지 않는 엄마는 여전히 안쓰럽다.<br/>기태는 왠지 이 사람들과, 다시 돌아온 고향이 싫지만은 않다.<br/><br/>괜찮아요. 나의 지금이 그리 영화 같진 않더라도.",,admin01
29,194289,국도극장: 감독판,드라마,한국,102분,12세 관람가,2020.05.29,8.69,전지희,이동휘,"만년 고시생 기태가 고향 벌교로 돌아왔다.<br/>사법고시가 폐지되어 고시생이라는 그 서글픈 타이틀마저 이제는 쓸 수 없게 되었다.<br/>유배지로 향하듯 돌아온 고향엔 그다지 반가운 사람도, 반겨주는 사람도 없다.<br/>생계를 위해 낡은 재개봉 영화관 ‘국도극장’에서 일을 시작하는 기태.<br/>간판장이 겸 극장 관리인 오 씨는 ‘급하시다 해서 잠깐 도와주러’ 왔다는 기태가 못마땅하다.<br/>우연히 만나게 된 동창생이자 가수 지망생 영은은 기태와 달리 24시간을 쪼개 쓰며 여러 일을 전전하고,<br/>밤낮없이 술에 취해 있는 오 씨는 기태의 말동무가 되어준다.<br/>자식들을 위해 몸 아픈 것도 돌보지 않는 엄마는 여전히 안쓰럽다.<br/>기태는 왠지 이 사람들과, 다시 돌아온 고향이 싫지만은 않다.<br/>괜찮아요. 나의 지금이 그리 영화 같진 않더라도.",,admin01
30,175393,국제수사,"액션, 드라마, 범죄",한국,106분,15세 관람가,2020.09.29,4.65,김봉한,"곽도원, 김대명, 김희원","필리핀으로 인생 첫 해외여행을 떠난 대천경찰서 강력팀 ‘홍병수’(곽도원) 경장.<br/><br/>여행의 단꿈도 잠시, ‘병수’는 범죄 조직 킬러 ‘패트릭’(김희원)의 셋업 범죄에 휘말려 살인 용의자가 되고,<br/>누명을 벗기 위해 현지 가이드이자 고향 후배 ‘만철’(김대명)과 함께 수사에 나선다.<br/><br/>하지만, 형사 본능이 끓어오르는 마음과는 달리 ’병수’의 몸과 영어는 따라주지 않고,<br/>필리핀에서 재회한 웬수 같은 죽마고우 ‘용배’(김상호)가 끼어드는 바람에<br/>수사는 자꾸 의도치 않은 방향으로 흘러가는데…<br/><br/>촌구석 형사 ‘병수’는 과연 무사히 한국에 돌아갈 수 있을까?<br/><br/>“나 코리안 폴리스여!”<br/>동네급 형사의 국제급 수사가 시작된다!",,admin01
31,142201,그 누구도 아닌,드라마,프랑스,111분,15세 관람가,2020.03.26,5.73,아르노 데 팔리에르,"아델 하에넬, 아델 에그자르코풀로스, 젬마 아터튼","남편과 파리로 이주해 작은 학교의 선생님으로 새로운 삶을 시작한 여자, 르네. 하지만 어느 날 옛 동료 타라가 찾아오면서 르네는 피할 수 없는 네 개의 기억과 마주하게 된다.",,admin01
